Product Title,Price,% Off,Discount Code,Amazon_link,
"Lake Life Women Shirts Cute Graphic Tshirt Summer Womens Tops Casual Short Sleeve Tee Shirt Blouse (Tie dye (Blue), Large)",$8.99,40%,40UNK8JS,https://www.amazon.com/promocode/A13U5VPBGOTE37?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Women’s Lantern Sleeve Knee Length Dress Ruffle A-Line Oversized Dress Gray XXL,$6.99,65%,651V1JXF,https://www.amazon.com/promocode/A1W57CHOLS817M?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
4.5In Metal Banana Big Claw Hair Clips for Women – 3 Pcs Non-slip Silver Large Hair Claw Clips Accessories Suitable for Women Thick Hair,$6.49,50%,15N5I7SG,https://www.amazon.com/promocode/A1B1MEU4G5BTD7?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Crelity Farmhouse Wall Decor Sign with 12 Interchangeable Wall Art Fathers Day Decoration – Easy to Hang 13×17” Rustic Wood Picture Frame with 12 Prints – Home Decor for You,$7.49,70%,706PYTME,https://www.amazon.com/promocode/AR1B13SIVLZKI?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Fingerprint Electronic Door Lock with Keypad, BEBASIA Keyless Entry Lock, Biometric Door Lock, Keypad Entry Door Lock, Passcode Code Lock, Digital Door Lock (Silver）",$89.99,70%,70KZD2AG,https://www.amazon.com/promocode/A1TELAVOUSC1O4?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Handheld Showerheads, High Pressure Hand Held Shower Head, with Powerful Shower Water Saving Shower Bathroom Accessories Hand Held Shower Assembly for Easy One Handed Operation (A)",$5.91,65%,65J6TSY5,https://www.amazon.com/promocode/A26B11RIDA0NVZ?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Christmas Throw Pillow Covers 18×18 Inch Set of 4, Linen Christmas Pillowcase Black and Red Buffalo Plaid Pillow Case Farmhouse Christmas Decorations for Home & Sofa",$6.96,30%,30Z7Z7VV,https://www.amazon.com/promocode/A32QDEYYCPUTUA?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Joy2fitt High Waist Leggings for Women 4 Way Stretch Tummy Control Workout Running Pants Black S,$9.99,75%,75X9E5TW,https://www.amazon.com/promocode/A1Z3FVX3711PAL?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Thigh High Socks for Women Cable Knit Over the Knee Boot Socks, Long Warm Leg Warmers Winter(Black)",$9.06,30%,30ZSW9Y6,https://www.amazon.com/promocode/A3UFXUD6YCKPGS?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Women’s Funny Cactus Shirt Summer Retro Graphic Blouse Casual Short Sleeve Tee Tops (K-Yellow, S)",$7.59,60%,60GZYEHI,https://www.amazon.com/promocode/AKMIJLOUQTT6X?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"DILIMI Baby Car Seat Cover, Soft Breathable Multiuse Infant Carseat Canopy for Newborn Boys Girls, Breastfeeding Nursing Covers Shower Gifts (Blue Shell)",$7.49,50%,509XDPZ5,https://www.amazon.com/promocode/A3VB36PTC1RUA4?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
